id,domain,requirement,priority,acceptance_evidence,owner,status
RUN-018,RUN,The One Receipt program SHALL map content provenance identifiers.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-019,RUN,The One Receipt program SHALL support commerce mandate adapters.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
RUN-020,RUN,The One Receipt program SHALL preserve cross-provider correlation without global user tracking.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-001,LOG,The One Receipt program SHALL sign envelopes with approved algorithms.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-002,LOG,The One Receipt program SHALL verify signatures offline.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-003,LOG,The One Receipt program SHALL support cryptographic agility.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-004,LOG,The One Receipt program SHALL maintain key rotation policy.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-005,LOG,The One Receipt program SHALL publish revocation information.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-006,LOG,The One Receipt program SHALL register receipts when profile requires.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-007,LOG,The One Receipt program SHALL provide inclusion proof.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-008,LOG,The One Receipt program SHALL provide consistency proof.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-009,LOG,The One Receipt program SHALL publish signed checkpoints.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-010,LOG,The One Receipt program SHALL support at least two independent witnesses at high assurance.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-011,LOG,The One Receipt program SHALL detect and report equivocation.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-012,LOG,The One Receipt program SHALL freeze assurance on suspected split view.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-013,LOG,The One Receipt program SHALL support cross-log anchoring.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-014,LOG,The One Receipt program SHALL define log outage and backfill behavior.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-015,LOG,The One Receipt program SHALL define retention and deletion semantics.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-016,LOG,The One Receipt program SHALL protect logs from stable personal identifiers.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-017,LOG,The One Receipt program SHALL publish log availability metrics.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-018,LOG,The One Receipt program SHALL publish witness diversity metrics.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-019,LOG,The One Receipt program SHALL perform cryptographic interoperability tests.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
LOG-020,LOG,The One Receipt program SHALL issue incident receipt for key or log compromise.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-001,PRI,The One Receipt program SHALL minimize personal and confidential data.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-002,PRI,The One Receipt program SHALL prohibit raw protected content by default.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-003,PRI,The One Receipt program SHALL prohibit plain hashes of guessable content as privacy claims.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-004,PRI,The One Receipt program SHALL use approved keyed commitments where needed.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-005,PRI,The One Receipt program SHALL rotate commitment secrets.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-006,PRI,The One Receipt program SHALL apply domain separation.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-007,PRI,The One Receipt program SHALL declare linkability scope.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-008,PRI,The One Receipt program SHALL coarsen timing and metadata where feasible.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-009,PRI,The One Receipt program SHALL assess sequence inference risk.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-010,PRI,The One Receipt program SHALL conduct re-identification testing.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-011,PRI,The One Receipt program SHALL define protected evidence disclosure authority.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-012,PRI,The One Receipt program SHALL support threshold disclosure.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-013,PRI,The One Receipt program SHALL support local retention rules.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-014,PRI,The One Receipt program SHALL support cross-border transfer restrictions.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-015,PRI,The One Receipt program SHALL support child-sensitive profile.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-016,PRI,The One Receipt program SHALL support high-risk privacy profile.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-017,PRI,The One Receipt program SHALL support community authority claims.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-018,PRI,The One Receipt program SHALL apply CARE principles for Indigenous data.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-019,PRI,The One Receipt program SHALL provide privacy deletion and correction process.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
PRI-020,PRI,The One Receipt program SHALL publish privacy threat model per release.,P2,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-001,CON,The One Receipt program SHALL present accessible notice.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-002,CON,The One Receipt program SHALL provide meaningful explanation route.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-003,CON,The One Receipt program SHALL provide challenge channel.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-004,CON,The One Receipt program SHALL publish response service level.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-005,CON,The One Receipt program SHALL offer authorized human review.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-006,CON,The One Receipt program SHALL state reviewer override authority.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-007,CON,The One Receipt program SHALL support correction reversal deletion and referral remedies.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-008,CON,The One Receipt program SHALL issue linked challenge receipt.,P0,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-009,CON,The One Receipt program SHALL issue linked review receipt.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-010,CON,The One Receipt program SHALL issue linked remedy receipt.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-011,CON,The One Receipt program SHALL support representative complaint.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-012,CON,The One Receipt program SHALL support public-interest research access.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
CON-013,CON,The One Receipt program SHALL protect complainant confidentiality.,P1,"documented artifact, automated test, published record, or independent review",TBD by charter,proposed
